order_year_month,total_orders,total_revenue,avg_review,late_rate,month_str
2017-01,750,111798.36,4.199055330634278,0.029333333333333333,2017-01
2017-02,1653,234223.4,4.202678027997566,0.029643073200241985,2017-02
2017-03,2546,359198.85,4.187376335575782,0.04556166535742341,2017-03
2017-04,2303,340669.68,4.137554585152839,0.06556665219279201,2017-04
2017-05,3546,489338.25,4.238487777146106,0.029892836999435984,2017-05
2017-06,3135,421923.37,4.222918675666988,0.030303030303030304,2017-06
2017-07,3872,481604.52,4.258415755682805,0.027892561983471075,2017-07
2017-08,4193,554699.7,4.3115246098439375,0.02909611256856666,2017-08
2017-09,4150,607399.67,4.267484215638659,0.04385542168674699,2017-09
2017-10,4478,648247.65,4.205240665766982,0.041759714158106295,2017-10
2017-11,7289,987765.37,3.988878143133462,0.12402249965701742,2017-11
2017-12,5513,726033.1900000001,4.0895440395531955,0.07455106112824234,2017-12
2018-01,7069,924645.0,4.108726650506203,0.05700947800254633,2018-01
2018-02,6555,826437.13,3.881717125147277,0.14126620900076278,2018-02
2018-03,7003,953356.25,3.8132556131260795,0.18963301442239042,2018-03
2018-04,6798,973534.09,4.2062351895734595,0.04501323918799647,2018-04
2018-05,6749,977544.6900000001,4.236239214519488,0.06563935397836716,2018-05
2018-06,6099,856077.86,4.306995884773663,0.011641252664371209,2018-06
2018-07,6159,867953.46,4.318085280182976,0.033771716187692806,2018-07
2018-08,6351,838576.64,4.3103475513428124,0.061880018894662256,2018-08
